pressure, temperature, conductivity, salinity, fluorescence, PAR/Irradience, Turbidity, Scan Count, Density, CDOM, Flag
      8.893 ,   15.2316 ,42.906862 ,  34.7799 ,   0.0951,4.3575e+01,    0.3719  ,     159,  1025.7906,     0.0589, 0.000e+00
      8.748 ,   15.2315 ,42.906726 ,  34.7799 ,   0.0951,4.5376e+01,    0.3711  ,     160,  1025.7900,     0.0594, 0.000e+00
      8.611 ,   15.2315 ,42.906995 ,  34.7802 ,   0.0949,4.6846e+01,    0.3705  ,     161,  1025.7897,     0.0588, 0.000e+00
      8.468 ,   15.2323 ,42.907197 ,  34.7798 ,   0.0949,4.9300e+01,    0.3691  ,     162,  1025.7885,     0.0587, 0.000e+00
      8.321 ,   15.2337 ,42.901454 ,  34.7733 ,   0.0950,5.2553e+01,    0.3679  ,     163,  1025.7825,     0.0585, 0.000e+00
      8.169 ,   15.2378 ,42.898480 ,  34.7671 ,   0.0960,5.6207e+01,    0.3708  ,     164,  1025.7762,     0.0576, 0.000e+00
      8.025 ,   15.2392 ,42.899222 ,  34.7665 ,   0.0962,5.9631e+01,    0.3736  ,     165,  1025.7748,     0.0563, 0.000e+00
      7.874 ,   15.2399 ,42.899965 ,  34.7667 ,   0.0959,6.2665e+01,    0.3727  ,     166,  1025.7741,     0.0564, 0.000e+00
      7.718 ,   15.2407 ,42.900505 ,  34.7665 ,   0.0950,6.6178e+01,    0.3710  ,     167,  1025.7731,     0.0596, 0.000e+00
      7.561 ,   15.2424 ,42.900233 ,  34.7648 ,   0.0951,7.1404e+01,    0.3706  ,     168,  1025.7707,     0.0588, 0.000e+00
      7.414 ,   15.2461 ,42.900975 ,  34.7623 ,   0.0952,7.6610e+01,    0.3706  ,     169,  1025.7673,     0.0593, 0.000e+00
      7.256 ,   15.2476 ,42.905907 ,  34.7655 ,   0.0956,8.0833e+01,    0.3714  ,     170,  1025.7687,     0.0600, 0.000e+00
      7.105 ,   15.2466 ,42.905231 ,  34.7658 ,   0.0963,8.5543e+01,    0.3719  ,     171,  1025.7685,     0.0594, 0.000e+00
      6.961 ,   15.2457 ,42.905703 ,  34.7671 ,   0.0951,8.9435e+01,    0.3714  ,     172,  1025.7691,     0.0606, 0.000e+00
      6.815 ,   15.2458 ,42.904689 ,  34.7662 ,   0.0940,9.4980e+01,    0.3716  ,     173,  1025.7677,     0.0591, 0.000e+00
      6.664 ,   15.2456 ,42.904283 ,  34.7660 ,   0.0949,1.0183e+02,    0.3717  ,     174,  1025.7669,     0.0600, 0.000e+00
      6.519 ,   15.2453 ,42.904485 ,  34.7665 ,   0.0963,1.0942e+02,    0.3711  ,     175,  1025.7667,     0.0615, 0.000e+00
      6.367 ,   15.2452 ,42.903809 ,  34.7661 ,   0.0971,1.1701e+02,    0.3744  ,     176,  1025.7658,     0.0613, 0.000e+00
      6.216 ,   15.2460 ,42.900700 ,  34.7626 ,   0.0985,1.2386e+02,    0.3777  ,     177,  1025.7622,     0.0599, 0.000e+00
      6.072 ,   15.2538 ,42.907455 ,  34.7619 ,   0.0989,1.3336e+02,    0.3738  ,     178,  1025.7593,     0.0594, 0.000e+00
      5.926 ,   15.2702 ,42.908668 ,  34.7485 ,   0.0985,1.4484e+02,    0.3710  ,     179,  1025.7447,     0.0602, 0.000e+00
